,City,Lattitude,Longitude,Temperature,Max Temperature,Humidity,Pressure,Cloud Cover,Wind Speed,Feels Like,Weather
44,bethel,41.3712,-73.414,56.25,59.92,73.0,1013.0,75.0,5.75,55.0,broken clouds
45,vila velha,-20.3297,-40.2925,69.75,69.75,88.0,1016.0,40.0,4.61,70.56,scattered clouds
46,san vicente,-26.6167,-54.1333,61.14,61.14,75.0,1009.0,5.0,3.62,60.48,clear sky
47,barrow,71.2906,-156.7887,30.22,30.22,86.0,995.0,90.0,6.91,23.41,light snow
48,kumluca,36.3703,30.2869,65.68,65.68,59.0,1020.0,0.0,3.58,64.72,clear sky
49,thompson,55.7435,-97.8558,31.06,31.06,93.0,1026.0,100.0,3.8,27.23,overcast clouds
50,hobart,-42.8794,147.3294,52.9,54.27,94.0,1010.0,75.0,8.05,52.3,light rain
51,talnakh,69.4865,88.3972,25.7,25.7,97.0,990.0,100.0,9.06,16.48,snow
52,hilo,19.7297,-155.09,73.17,74.39,94.0,1018.0,90.0,4.61,74.61,moderate rain
53,carnarvon,-24.8667,113.6333,86.07,86.07,25.0,1017.0,0.0,14.97,83.26,clear sky
54,flin flon,54.7682,-101.865,34.16,34.16,77.0,1023.0,100.0,7.92,27.52,overcast clouds
55,bud,39.447,-86.1758,50.04,52.21,95.0,1017.0,97.0,5.93,49.21,overcast clouds
56,aberchirder,57.5601,-2.6286,38.3,41.9,82.0,1018.0,100.0,8.52,32.23,overcast clouds
57,mithi,24.7318,69.7981,76.23,76.23,77.0,1011.0,2.0,11.21,77.16,clear sky
58,punta arenas,-53.15,-70.9167,39.31,39.31,87.0,986.0,75.0,34.52,26.78,light intensity shower rain
59,richards bay,-28.783,32.0377,66.81,66.81,88.0,1009.0,3.0,3.09,67.33,clear sky
60,talara,-4.5772,-81.2719,65.95,65.95,90.0,1015.0,96.0,12.71,66.47,overcast clouds
61,visina,44.5833,25.3333,56.64,58.14,75.0,1017.0,95.0,6.69,55.53,overcast clouds
62,lebu,-37.6167,-73.65,50.67,50.67,66.0,1025.0,63.0,16.55,48.54,broken clouds
63,krasnofarfornyy,59.1364,31.8502,38.64,38.64,83.0,991.0,100.0,11.74,31.24,overcast clouds
65,zheleznodorozhnyy,55.7503,38.0042,43.05,44.15,70.0,1003.0,100.0,12.35,36.57,light rain
66,griffith,41.5284,-87.4237,48.52,51.89,79.0,1016.0,90.0,3.44,47.61,overcast clouds
67,khandagayty,50.7333,92.05,36.55,36.55,53.0,1026.0,100.0,4.68,32.7,overcast clouds
68,bredasdorp,-34.5322,20.0403,54.72,58.28,82.0,1004.0,100.0,16.11,53.74,light rain
69,port elizabeth,-33.918,25.5701,59.29,65.1,77.0,1004.0,0.0,6.91,58.53,clear sky
71,kapuskasing,49.4169,-82.4331,30.2,30.2,100.0,1015.0,75.0,5.75,24.3,broken clouds
73,severnyy,50.677,36.5532,50.04,50.04,50.0,1012.0,0.0,6.71,47.08,clear sky
74,maryborough,-25.5333,152.7,87.91,87.91,49.0,1015.0,16.0,10.78,90.54,few clouds
75,lagoa,39.05,-27.9833,67.55,67.55,85.0,1024.0,43.0,13.58,68.0,scattered clouds
76,labuan,5.2767,115.2417,82.76,84.36,83.0,1013.0,20.0,4.61,91.6,few clouds
77,sorland,67.667,12.6934,40.84,40.84,52.0,1006.0,100.0,4.41,37.92,overcast clouds
78,faanui,-16.4833,-151.75,78.33,78.33,83.0,1007.0,77.0,19.51,79.77,moderate rain
79,capao da canoa,-29.7456,-50.0097,63.41,63.41,86.0,1011.0,1.0,7.67,63.5,clear sky
80,lavrentiya,65.5833,-171.0,23.88,23.88,83.0,995.0,100.0,12.33,12.42,overcast clouds
81,pevek,69.7008,170.3133,12.9,12.9,91.0,1007.0,100.0,7.02,2.46,light snow
82,san jose,37.3394,-121.895,58.55,61.3,75.0,1015.0,75.0,9.22,57.63,broken clouds
83,sosnovka,56.255,51.2842,44.74,44.74,85.0,1003.0,4.0,10.87,39.2,clear sky
84,kapaa,22.0752,-159.319,77.94,82.38,83.0,1019.0,75.0,11.5,79.32,broken clouds
86,pedernales,18.0384,-71.744,80.46,80.46,72.0,1015.0,95.0,5.7,83.98,overcast clouds
87,victoria,22.2855,114.1577,66.54,68.32,74.0,1020.0,80.0,1.99,66.38,broken clouds
88,cape town,-33.9258,18.4232,56.82,58.87,89.0,1007.0,75.0,3.0,56.39,moderate rain
89,jamestown,42.097,-79.2353,44.24,47.52,85.0,1015.0,90.0,1.01,44.24,overcast clouds
90,kyren,51.6828,102.1408,40.14,40.14,49.0,1025.0,12.0,0.16,40.14,few clouds
91,kamenka,51.3223,42.7678,50.11,50.11,71.0,1013.0,100.0,9.6,48.16,overcast clouds
92,ust-tsilma,65.441,52.1498,29.55,29.55,97.0,981.0,100.0,6.13,23.22,snow
93,orangeburg,33.4918,-80.8557,60.19,65.17,83.0,1016.0,1.0,0.0,59.81,clear sky
94,grand gaube,-20.0064,57.6608,74.37,74.37,85.0,1019.0,84.0,3.0,75.51,broken clouds
95,alice springs,-23.7,133.8833,81.95,81.95,23.0,1019.0,0.0,17.27,79.99,clear sky
96,mount gambier,-37.8333,140.7667,57.36,57.36,74.0,1019.0,15.0,8.48,56.28,few clouds
97,palmer,42.1584,-72.3287,52.27,56.28,65.0,1014.0,75.0,1.01,50.25,broken clouds
98,vestmannaeyjar,63.4427,-20.2734,48.76,48.76,97.0,991.0,100.0,7.09,45.64,overcast clouds
99,east london,-33.0153,27.9116,62.4,62.4,74.0,1005.0,49.0,6.8,61.83,scattered clouds
100,port alfred,-33.5906,26.891,61.32,61.32,84.0,1005.0,3.0,9.8,61.11,clear sky
101,sisimiut,66.9395,-53.6735,21.07,21.07,73.0,1006.0,8.0,8.7,11.03,clear sky
102,ternate,0.8,127.4,84.15,84.15,69.0,1012.0,95.0,4.23,90.46,overcast clouds
103,olafsvik,64.8945,-23.7142,45.34,45.34,94.0,989.0,100.0,8.75,40.77,overcast clouds
104,samarai,-10.6167,150.6667,81.95,81.95,74.0,1013.0,100.0,13.82,87.22,overcast clouds
105,tabou,4.423,-7.3528,76.35,76.35,90.0,1011.0,46.0,6.6,77.92,light rain
106,tiksi,71.6872,128.8694,4.1,4.1,96.0,1011.0,100.0,2.24,4.1,overcast clouds
107,maues,-3.3836,-57.7186,79.7,79.7,75.0,1010.0,100.0,2.35,79.7,overcast clouds
108,ushuaia,-54.8,-68.3,38.86,38.86,87.0,976.0,75.0,18.41,29.39,moderate rain
109,college,64.8569,-147.8028,34.81,39.18,73.0,979.0,75.0,0.0,34.81,broken clouds
110,norsup,-16.0667,167.3833,83.03,83.03,74.0,1014.0,43.0,5.35,89.56,scattered clouds
111,sao miguel do araguaia,-13.275,-50.1628,76.23,76.23,72.0,1010.0,100.0,5.1,76.93,overcast clouds
112,halifax,44.6453,-63.5724,62.26,63.41,95.0,1012.0,100.0,1.99,62.65,overcast clouds
113,puerto ayora,-0.7393,-90.3518,69.89,69.89,86.0,1014.0,20.0,8.21,70.63,few clouds
114,san patricio,28.017,-97.5169,77.97,80.46,77.0,1015.0,96.0,9.95,79.09,overcast clouds
115,westport,41.1415,-73.3579,58.44,62.42,66.0,1012.0,90.0,5.99,57.09,overcast clouds
116,tautira,-17.7333,-149.15,73.42,73.42,87.0,1007.0,67.0,33.31,74.55,light rain
117,dharchula,29.85,80.5333,63.05,63.05,68.0,1019.0,29.0,3.18,62.26,scattered clouds
118,sol-iletsk,51.1631,54.9918,45.95,45.95,62.0,1016.0,4.0,13.2,39.96,clear sky
119,fare,-16.7,-151.0167,77.31,77.31,88.0,1008.0,100.0,20.98,78.87,moderate rain
121,hinton,53.4001,-117.5857,50.04,50.04,74.0,1001.0,100.0,3.6,48.22,overcast clouds
122,avarua,-21.2078,-159.775,73.45,73.45,64.0,1010.0,20.0,5.75,73.51,few clouds
123,severo-kurilsk,50.6789,156.125,42.04,42.04,72.0,1014.0,39.0,13.18,35.02,scattered clouds
124,ixtapa,20.7,-105.2,85.23,85.23,74.0,1009.0,75.0,0.0,94.84,broken clouds
125,riyadh,24.6877,46.7219,68.14,68.14,34.0,1017.0,2.0,4.61,66.25,clear sky
126,fairbanks,64.8378,-147.7164,35.94,39.2,72.0,979.0,1.0,0.0,35.94,clear sky
127,garden city,42.3256,-83.331,43.54,46.65,79.0,1017.0,75.0,3.44,41.92,broken clouds
128,hithadhoo,-0.6,73.0833,82.18,82.18,73.0,1014.0,100.0,11.77,87.48,overcast clouds
129,pochutla,15.7432,-96.4661,75.81,75.81,93.0,1013.0,100.0,2.64,77.47,overcast clouds
131,srednekolymsk,67.45,153.6833,-1.53,-1.53,89.0,1012.0,54.0,1.16,-1.53,broken clouds
132,glendive,47.1053,-104.7125,47.1,50.49,72.0,1009.0,1.0,9.22,42.75,clear sky
133,vanavara,60.34,102.2797,38.95,38.95,84.0,1016.0,100.0,11.45,31.73,overcast clouds
134,saint-pierre,-21.3393,55.4781,71.78,74.84,77.0,1018.0,75.0,5.75,72.28,broken clouds
135,sydney,-33.8679,151.2073,83.44,91.35,58.0,1010.0,0.0,11.99,86.14,clear sky
136,porto santo,33.072,-16.3415,68.38,68.38,60.0,1022.0,20.0,9.22,67.73,few clouds
137,acapulco,16.8634,-99.8901,78.62,78.62,83.0,1010.0,90.0,8.05,80.08,overcast clouds
138,tabuk,17.4189,121.4443,82.51,82.51,71.0,1015.0,24.0,4.41,87.66,few clouds
139,oyama,36.3,139.8,61.9,67.03,36.0,1019.0,4.0,10.94,59.49,clear sky
140,qaanaaq,77.484,-69.3632,-0.85,-0.85,65.0,1010.0,0.0,8.3,-13.45,clear sky
141,kruisfontein,-34.0033,24.7314,62.89,62.89,55.0,1004.0,100.0,8.12,61.47,overcast clouds
143,kahului,20.8947,-156.47,79.99,82.42,71.0,1016.0,20.0,21.85,79.99,few clouds
144,bama,11.5221,13.6856,79.39,79.39,57.0,1010.0,32.0,3.27,79.39,scattered clouds
145,ostrovnoy,68.0531,39.5131,34.09,34.09,66.0,994.0,100.0,23.2,21.9,light rain
147,yellowknife,62.456,-114.3525,41.88,42.42,77.0,1006.0,20.0,17.27,33.62,few clouds
148,wukari,7.85,9.7833,72.82,72.82,97.0,1012.0,100.0,3.24,74.37,light rain
149,bang rakam,16.7585,100.1174,79.0,80.06,100.0,1015.0,75.0,2.3,79.0,broken clouds
150,katsuura,35.1333,140.3,64.31,64.51,51.0,1019.0,3.0,15.82,62.83,clear sky
151,maningrida,-12.0667,134.2667,92.07,92.07,48.0,1012.0,21.0,11.25,97.61,few clouds
152,salalah,17.0151,54.0924,73.49,73.49,78.0,1015.0,0.0,2.3,74.21,clear sky
154,butaritari,3.0707,172.7902,82.27,82.27,78.0,1010.0,77.0,18.57,88.93,light rain
155,iqaluit,63.7506,-68.5145,25.7,26.33,86.0,1016.0,90.0,13.0,14.38,overcast clouds
156,aipe,3.2222,-75.2367,76.53,76.53,78.0,1010.0,46.0,2.62,77.56,scattered clouds
157,klimovo,52.3805,32.1923,41.79,41.79,66.0,1009.0,7.0,13.58,34.57,clear sky
159,dudinka,69.4058,86.1778,24.26,24.26,97.0,989.0,100.0,10.71,13.73,snow
160,sambava,-14.2667,50.1667,72.18,72.18,92.0,1015.0,23.0,4.23,73.42,few clouds
161,port-gentil,-0.7193,8.7815,78.13,78.13,83.0,1011.0,100.0,12.77,79.56,overcast clouds
162,cayenne,4.9333,-52.3333,78.1,78.1,89.0,1012.0,20.0,0.0,79.79,few clouds
163,avera,33.194,-82.5271,59.14,63.72,61.0,1016.0,73.0,7.23,57.63,broken clouds
164,bluff,-46.6,168.3333,56.8,56.8,67.0,1022.0,100.0,11.25,55.33,overcast clouds
165,atasu,48.6814,71.6433,34.93,34.93,96.0,1030.0,100.0,19.55,23.95,light rain
167,aklavik,68.2191,-135.0107,29.23,30.92,94.0,985.0,100.0,15.41,17.89,light snow
168,miles city,46.4083,-105.8406,49.17,53.51,66.0,1009.0,1.0,9.22,45.28,clear sky
169,adrar,20.5022,-10.0711,72.23,72.23,22.0,1013.0,81.0,7.94,70.2,broken clouds
170,zhangjiakou,40.81,114.8794,45.39,45.39,34.0,1030.0,0.0,1.95,45.39,clear sky
171,castro,-24.7911,-50.0119,55.31,55.31,81.0,1014.0,0.0,3.78,54.36,clear sky
172,tahta,26.7693,31.5021,67.46,67.46,59.0,1017.0,0.0,9.75,66.69,clear sky
173,ahipara,-35.1667,173.1667,60.71,60.71,94.0,1017.0,100.0,19.77,60.91,light rain
174,schrobenhausen,48.55,11.2667,39.56,42.19,80.0,1026.0,75.0,1.99,39.56,broken clouds
175,khandyga,62.6667,135.6,17.47,17.47,90.0,1008.0,99.0,2.89,17.47,overcast clouds
176,san agustin,20.5333,-103.4667,66.09,70.32,68.0,1020.0,40.0,0.0,65.61,scattered clouds
177,roros,62.5747,11.3842,31.84,31.84,86.0,1005.0,75.0,13.8,21.83,light intensity shower rain
178,kurchum,48.5722,83.6542,35.47,35.47,57.0,1038.0,19.0,6.11,30.29,few clouds
179,kitimat,54.0524,-128.6534,44.91,44.98,28.0,998.0,100.0,0.54,44.91,light rain
180,ribeira grande,38.5167,-28.7,68.76,68.76,87.0,1024.0,13.0,10.33,69.42,few clouds
181,bichura,50.5881,107.6022,42.57,42.57,38.0,1024.0,0.0,1.12,42.57,clear sky
182,puerto madero,14.7208,-92.4215,79.0,79.0,100.0,1012.0,40.0,0.0,79.0,scattered clouds
183,shingu,33.7333,135.9833,65.39,65.39,38.0,1021.0,0.0,2.93,63.41,clear sky
184,sioux lookout,50.1001,-91.917,35.67,35.98,93.0,1019.0,75.0,4.61,31.73,broken clouds
185,southbridge,42.0751,-72.0334,52.84,57.25,78.0,1014.0,93.0,6.06,51.49,overcast clouds
186,bubaque,11.2833,-15.8333,82.76,82.76,76.0,1009.0,67.0,11.39,89.53,light rain
187,bilma,18.6853,12.9164,79.14,79.14,19.0,1013.0,1.0,8.08,79.14,clear sky
188,fortuna,40.5982,-124.1573,56.41,57.36,73.0,1014.0,90.0,5.99,55.18,overcast clouds
189,araouane,18.9048,-3.5265,78.3,78.3,22.0,1011.0,3.0,7.47,76.86,clear sky
191,bengkulu,-3.8004,102.2655,81.66,81.66,73.0,1013.0,95.0,0.6,86.43,overcast clouds
192,batagay-alyta,67.8006,130.4114,8.47,8.47,93.0,1009.0,100.0,0.92,8.47,overcast clouds
193,flinders,-34.5833,150.8552,79.02,83.8,72.0,1006.0,50.0,5.01,79.02,scattered clouds
194,mullingar,53.5333,-7.35,46.85,48.15,89.0,1019.0,95.0,9.91,42.17,overcast clouds
195,khakhea,-24.6895,23.494,62.53,62.53,18.0,1011.0,0.0,2.51,59.32,clear sky
196,lakes entrance,-37.8811,147.981,63.16,69.57,92.0,1012.0,95.0,8.19,63.5,overcast clouds
197,cabo san lucas,22.8909,-109.9124,79.23,81.61,79.0,876.0,1.0,4.0,79.23,clear sky
198,russell,32.3502,-85.1999,56.37,64.0,88.0,1017.0,1.0,0.0,55.85,haze
199,khorinsk,52.1657,109.7726,38.07,38.07,48.0,1023.0,0.0,2.73,38.07,clear sky
200,kodiak,57.79,-152.4072,41.18,41.18,76.0,974.0,100.0,12.37,34.2,overcast clouds
201,nandigama,16.7833,80.3,82.2,82.2,70.0,1014.0,87.0,2.66,86.83,overcast clouds
202,arraial do cabo,-22.9661,-42.0278,68.65,68.65,79.0,1016.0,1.0,12.82,68.92,clear sky
203,amapa,1.0,-52.0,71.53,71.53,99.0,1012.0,95.0,2.95,73.04,overcast clouds
204,evensk,61.95,159.2333,12.61,12.61,65.0,1009.0,82.0,5.35,3.88,broken clouds
205,tallahassee,30.4383,-84.2807,69.53,75.61,92.0,1016.0,1.0,3.44,70.5,clear sky
206,olinda,-8.0089,-34.8553,80.33,80.33,74.0,1012.0,40.0,5.75,84.06,scattered clouds
207,guarapari,-20.6667,-40.4975,69.69,69.69,86.0,1016.0,94.0,2.73,70.41,overcast clouds
208,saint anthony,45.0205,-93.218,40.48,44.22,70.0,1018.0,90.0,1.99,40.48,overcast clouds
209,saint-philippe,-21.3585,55.7679,71.67,74.75,82.0,1019.0,35.0,7.54,72.39,scattered clouds
210,torbay,47.6666,-52.7314,51.58,52.57,83.0,1019.0,90.0,6.91,50.34,overcast clouds
211,puerto narino,-3.7703,-70.3831,76.95,76.95,94.0,1009.0,98.0,1.1,78.76,light rain
212,itarema,-2.9248,-39.9167,79.57,79.57,80.0,1011.0,70.0,10.67,79.57,broken clouds
214,clyde river,70.4692,-68.5914,21.63,21.63,76.0,1007.0,100.0,6.42,13.5,overcast clouds
215,hammerfest,70.6634,23.6821,32.45,32.45,64.0,1004.0,90.0,6.91,26.1,light snow
217,sitka,57.0531,-135.33,46.29,46.29,71.0,990.0,90.0,14.97,39.9,light rain
218,pierre,44.3683,-100.351,42.51,44.85,81.0,1016.0,1.0,1.99,42.51,clear sky
219,bereda,43.2686,-7.5406,42.08,45.57,100.0,1024.0,8.0,1.07,42.08,clear sky
220,bima,-8.4667,118.7167,94.64,94.64,43.0,1013.0,89.0,1.79,99.97,light rain
222,narsaq,60.9167,-46.05,37.62,37.62,99.0,992.0,100.0,2.39,37.62,light rain
223,ryotsu,38.0833,138.4333,53.56,53.56,51.0,1022.0,83.0,19.66,51.03,broken clouds
224,tuktoyaktuk,69.4541,-133.0374,33.8,33.8,100.0,984.0,90.0,13.8,24.33,overcast clouds
225,demba,-5.51,22.2667,66.99,66.99,97.0,1012.0,100.0,1.01,67.95,overcast clouds
226,upernavik,72.7868,-56.1549,21.15,21.15,82.0,1001.0,100.0,5.7,13.59,light snow
227,harlingen,26.1906,-97.6961,77.16,80.89,97.0,1015.0,20.0,5.75,79.14,few clouds
228,sinop,41.7711,34.8709,52.43,52.43,42.0,1021.0,59.0,4.74,49.35,broken clouds
230,ponta do sol,32.6667,-17.1,68.36,68.72,67.0,1022.0,34.0,7.74,68.05,scattered clouds
231,zyryanka,65.75,150.85,0.0,0.0,77.0,1012.0,45.0,1.28,0.0,scattered clouds
232,saint george,37.1041,-113.5841,67.8,72.95,26.0,1011.0,1.0,1.99,65.5,clear sky
233,leo,11.1,-2.1,75.43,75.43,79.0,1011.0,57.0,4.61,76.39,broken clouds
234,namatanai,-3.6667,152.4333,84.81,84.81,66.0,1011.0,89.0,9.82,90.86,overcast clouds
235,kousseri,12.0769,15.0306,78.76,78.76,78.0,1010.0,67.0,4.61,78.76,broken clouds
236,chuy,-33.6971,-53.4616,57.79,57.79,71.0,1011.0,100.0,5.17,56.61,moderate rain
239,gazojak,41.1875,61.4036,43.09,43.09,42.0,1031.0,1.0,9.28,37.76,clear sky
240,veraval,20.9,70.3667,77.97,77.97,68.0,1014.0,30.0,8.03,78.67,scattered clouds
241,pisco,-13.7,-76.2167,60.85,61.02,82.0,1015.0,0.0,14.97,60.49,clear sky
242,tierralta,8.1736,-76.0592,75.56,75.56,94.0,1011.0,100.0,3.24,77.23,overcast clouds
243,kushiro,42.975,144.3747,45.55,45.55,81.0,1014.0,75.0,13.8,39.29,broken clouds
244,atamanovka,51.93,113.63,28.83,28.83,50.0,1023.0,0.0,2.17,28.83,clear sky
245,dong hoi,17.4833,106.6,66.9,66.9,87.0,1021.0,100.0,15.68,67.39,overcast clouds
246,bratsk,56.1325,101.6142,36.09,36.09,71.0,1024.0,77.0,10.85,28.4,broken clouds
247,touros,-5.1989,-35.4608,81.5,81.5,80.0,1012.0,25.0,10.31,87.58,scattered clouds
248,jinchang,38.4953,102.1739,48.58,48.58,51.0,1021.0,100.0,2.8,48.58,overcast clouds
249,necochea,-38.5473,-58.7368,52.03,52.03,91.0,1012.0,100.0,4.47,51.21,light rain
251,caranavi,-15.8167,-67.55,69.87,69.87,73.0,1008.0,63.0,3.53,70.0,broken clouds
252,balaipungut,1.05,101.2833,84.61,84.61,72.0,1014.0,45.0,1.3,92.55,scattered clouds
253,bridgetown,13.1,-59.6167,82.89,82.89,74.0,1015.0,40.0,23.02,89.24,scattered clouds
254,cidreira,-30.1811,-50.2056,64.96,64.96,87.0,1011.0,0.0,9.6,65.25,clear sky
255,hokitika,-42.7167,170.9667,60.93,60.93,66.0,1022.0,100.0,8.39,59.83,light rain
256,labuhan,-6.8844,112.2051,86.95,86.95,60.0,1014.0,71.0,3.83,92.97,broken clouds
257,oranjemund,-28.55,16.4333,56.82,56.82,81.0,1016.0,0.0,16.64,56.01,clear sky
258,prince rupert,54.3161,-130.3201,45.88,47.89,81.0,997.0,90.0,11.5,40.41,light rain
259,colares,38.7992,-9.4469,60.12,63.34,61.0,1020.0,6.0,8.99,58.69,clear sky
260,pizhanka,57.4604,48.542,41.99,41.99,81.0,1000.0,62.0,16.67,33.93,broken clouds
261,maarianhamina,60.0973,19.9348,40.86,40.86,81.0,997.0,75.0,14.97,32.94,broken clouds
262,buraydah,26.326,43.975,66.65,66.65,38.0,1016.0,0.0,6.6,64.8,clear sky
263,laohekou,32.3858,111.6678,59.72,59.72,52.0,1029.0,93.0,5.19,57.83,overcast clouds
265,souillac,-20.5167,57.5167,73.78,74.35,94.0,1019.0,75.0,13.8,75.27,broken clouds
266,namibe,-15.1961,12.1522,64.51,64.51,69.0,1013.0,68.0,9.51,63.9,broken clouds
267,isangel,-19.55,169.2667,84.31,84.31,70.0,1014.0,20.0,11.5,91.15,few clouds
268,karratha,-20.7377,116.8463,94.37,94.37,18.0,1014.0,9.0,18.9,90.43,clear sky
269,santa maria,-29.6842,-53.8069,61.9,61.9,94.0,1008.0,0.0,5.75,62.2,clear sky
271,bambous virieux,-20.3428,57.7575,73.65,74.21,94.0,1019.0,75.0,13.8,75.13,broken clouds
272,deputatskiy,69.3,139.9,-0.74,-0.74,96.0,1011.0,95.0,0.25,-0.74,overcast clouds
273,egvekinot,66.3167,-179.1667,12.11,12.11,83.0,1003.0,100.0,6.87,1.65,overcast clouds
274,vostok,46.4856,135.8833,40.48,40.48,57.0,1020.0,19.0,6.64,35.92,few clouds
275,klaksvik,62.2266,-6.589,45.52,45.52,79.0,1009.0,100.0,26.51,36.5,overcast clouds
276,vanino,49.0869,140.2543,44.67,44.67,49.0,1013.0,21.0,5.99,41.32,few clouds
277,kaeo,-35.1,173.7833,60.33,60.33,97.0,1019.0,100.0,18.97,60.62,light rain
279,burnie,-41.0667,145.9167,62.53,62.53,62.0,1011.0,89.0,5.08,61.39,overcast clouds
280,forssa,60.8146,23.6215,32.36,33.42,97.0,992.0,100.0,10.45,23.95,light snow
281,taoudenni,22.6783,-3.9836,77.29,77.29,28.0,1011.0,0.0,6.55,76.03,clear sky
282,belyy yar,53.6039,91.3903,37.29,37.29,75.0,1029.0,0.0,11.18,29.77,clear sky
283,cobija,-11.0267,-68.7692,78.73,78.73,71.0,1007.0,72.0,2.55,78.73,broken clouds
284,pangnirtung,66.1451,-65.7125,24.3,24.3,58.0,1011.0,86.0,8.08,15.4,overcast clouds
285,hasaki,35.7333,140.8333,61.2,62.89,56.0,1019.0,1.0,15.43,59.65,clear sky
286,yar-sale,66.8333,70.8333,27.14,27.14,94.0,987.0,89.0,8.61,18.54,overcast clouds
287,leningradskiy,69.3833,178.4167,4.73,4.73,85.0,1006.0,44.0,8.63,-7.87,scattered clouds
288,port lincoln,-34.7333,135.8667,60.28,60.28,52.0,1024.0,9.0,16.96,58.44,clear sky
289,makokou,0.5738,12.8642,68.0,68.0,100.0,1012.0,93.0,1.66,69.21,light rain
291,nuuk,64.1835,-51.7216,29.01,29.01,50.0,1000.0,0.0,29.93,16.41,clear sky
292,longyearbyen,78.2186,15.6401,19.24,19.24,86.0,1007.0,75.0,2.3,19.24,broken clouds
293,giera,45.4072,20.9922,55.26,55.49,89.0,1021.0,100.0,7.76,54.66,overcast clouds
